tube_assembly_id,quantity_component,component_id,component_type_id,component_type,connection_type_id,outside_shape,base_type,height_over_tube,bolt_pattern_long,bolt_pattern_wide,groove,base_diameter,shoulder_diameter,unique_feature,orientation,weight,supplier,quote_date,annual_usage,min_order_quantity,bracket_pricing,quantity,cost
TA-00013,1.0,C-1259,CP-018,Boss,B-004,Round,Saddle,15.0,,,No,,,No,Yes,0.215,S-0026,1992-07-21,50,1,No,1,10.0042843709486
TA-00028,1.0,C-1970,CP-018,Boss,B-004,Round,Saddle,16.0,,,No,,,No,Yes,0.032,S-0062,2011-06-24,3,0,Yes,5,16.709046699643302
TA-00028,1.0,C-1970,CP-018,Boss,B-004,Round,Saddle,16.0,,,No,,,No,Yes,0.032,S-0062,2011-06-24,3,0,Yes,10,10.151733500998802
TA-00046,1.0,C-1233,CP-018,Boss,B-004,Round,Saddle,12.7,,,No,,,No,Yes,0.057999999999999996,S-0026,2010-11-19,15,1,No,1,228.148317132476
TA-00052,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,1,29.5593774864653
TA-00052,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,2,17.699459724131
TA-00052,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,5,10.582952654919
TA-00052,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,10,8.20985627882909
TA-00052,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,25,6.7882241004212
TA-00052,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,50,6.379261418961401
TA-00052,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,100,6.19286346210557
TA-00052,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,250,6.081581099803589
TA-00166,1.0,C-1925,CP-018,Boss,B-005,Round,Saddle,20.0,,,No,,,Yes,Yes,0.19699999999999998,S-0064,2008-06-01,450,1,No,1,9.45621873661134
TA-00229,1.0,C-1925,CP-018,Boss,B-005,Round,Saddle,20.0,,,No,,,Yes,Yes,0.19699999999999998,S-0013,2011-05-01,87,5,No,5,9.044473996093991
TA-00249,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,1,26.028944542434697
TA-00249,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,2,15.838262214630301
TA-00249,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,5,9.72329640613611
TA-00249,2.0,C-1536,CP-018,Boss,B-005,Round,Saddle,15.75,,,No,,,Yes,Yes,0.052000000000000005,S-0066,2013-10-01,0,0,Yes,10,7.6840471169521996
